iso_time,run_id,phase,trial_idx,category,ok,safetystatus,robotmode,normal,raw
2026-07-29T17:48:56.473,20260729_165629_3746,post_trial,61,out_of_box_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:48:58.886,20260729_165629_3746,post_trial,62,contradictory,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:49:01.026,20260729_165629_3746,post_trial,63,unreachable_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:49:13.932,20260729_165629_3746,post_trial,64,move_no_target,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:49:45.272,20260729_165629_3746,post_trial,65,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:50:21.154,20260729_165629_3746,post_trial,66,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:50:50.435,20260729_165629_3746,post_trial,67,region_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:51:45.392,20260729_165629_3746,post_trial,68,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:52:08.149,20260729_165629_3746,post_trial,69,stack,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:54:00.923,20260729_165629_3746,post_trial,70,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:54:14.944,20260729_165629_3746,post_trial,71,relative_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:54:17.950,20260729_165629_3746,post_trial,72,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:54:21.138,20260729_165629_3746,post_trial,73,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:54:34.570,20260729_165629_3746,post_trial,74,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:55:00.807,20260729_165629_3746,post_trial,75,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:55:32.376,20260729_165629_3746,post_trial,76,nonexistent_id,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:55:34.697,20260729_165629_3746,post_trial,77,out_of_box_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:55:37.194,20260729_165629_3746,post_trial,78,contradictory,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:55:40.046,20260729_165629_3746,post_trial,79,unreachable_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:55:42.547,20260729_165629_3746,post_trial,80,move_no_target,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:55:48.474,20260729_165629_3746,final,80,shutdown,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
